field,system,layer,train_n,validation_n,test_n,test_balanced_accuracy,test_macro_f1,validation_balanced_accuracy,validation_macro_f1
seen,base,21,1226,166,346,0.9123893805309735,0.9083778477834087,0.8797487745098039,0.8841501240694789
seen,base,22,1226,166,346,0.9187684365781711,0.9146966169017943,0.8826593137254901,0.8848821081830791
seen,base,23,1226,166,346,0.9060103244837758,0.9020590786650231,0.8875612745098039,0.8909371980676328
seen,base,24,1226,166,346,0.89155604719764,0.89155604719764,0.8904718137254901,0.891607451507586
seen,base,25,1226,166,346,0.8907817109144542,0.8839420888973502,0.9031862745098039,0.9043595160361053
seen,base,26,1226,166,346,0.9035398230088496,0.8964888900976367,0.883578431372549,0.8802172344384945
seen,base,27,1226,166,346,0.8998893805309734,0.8983287419651056,0.8728553921568627,0.8728553921568627
seen,base,28,1226,166,346,0.9146017699115044,0.9113729508196722,0.8806678921568627,0.8795585595906366
seen,base,29,1226,166,346,0.9037979351032448,0.8990849101316125,0.8777573529411764,0.8788553869790667
seen,base,30,1226,166,346,0.9254056047197641,0.9237465564738292,0.8630514705882353,0.860929169840061
seen,base,31,1226,166,346,0.9234513274336283,0.9234513274336283,0.8797487745098039,0.8841501240694789
seen,base,32,1226,166,346,0.9148598820058997,0.9140499213366332,0.8650428921568627,0.8661033224505473
seen,answer_only,0,1226,166,346,0.5,0.3951048951048951,0.5,0.3805970149253731
seen,answer_only,1,1226,166,346,0.6706489675516224,0.6621693591336766,0.6371017156862745,0.6353030303030303
seen,answer_only,2,1226,166,346,0.6305309734513274,0.6319561079386407,0.6490502450980392,0.652663769515532
seen,answer_only,3,1226,166,346,0.6307890855457227,0.632851602482839,0.7133884803921569,0.7107575757575757
seen,answer_only,4,1226,166,346,0.633259587020649,0.636151769219838,0.6654411764705883,0.6621438263229308
seen,answer_only,5,1226,166,346,0.6589233038348083,0.6555656108597285,0.6341911764705883,0.6333587204874334
seen,answer_only,6,1226,166,346,0.6574852507374631,0.6568595041322314,0.6147365196078431,0.6163879205671536
seen,answer_only,7,1226,166,346,0.6186946902654867,0.6166448706771288,0.6948529411764706,0.6948529411764706
seen,answer_only,8,1226,166,346,0.6617994100294985,0.6519114688128773,0.6881127450980392,0.6921923699057088
seen,answer_only,9,1226,166,346,0.6932890855457228,0.6909475372780634,0.7055759803921569,0.7036952641373286
seen,answer_only,10,1226,166,346,0.7077433628318583,0.7030472215446604,0.678155637254902,0.6746570179406
seen,answer_only,11,1226,166,346,0.8014749262536873,0.7961144804953448,0.8376225490196079,0.8356435643564357
seen,answer_only,12,1226,166,346,0.8574483775811209,0.8567498688943886,0.8189338235294117,0.808178327804078
seen,answer_only,13,1226,166,346,0.8811578171091445,0.8648677436534706,0.891390931372549,0.8868181818181818
seen,answer_only,14,1226,166,346,0.915523598820059,0.9011181366770264,0.9090073529411764,0.9054346587672326
seen,answer_only,15,1226,166,346,0.9437684365781711,0.9343578068677669,0.8953737745098039,0.8976729850516258
seen,answer_only,16,1226,166,346,0.9528761061946902,0.9493559718969555,0.9306066176470589,0.9356389578163771
seen,answer_only,17,1226,166,346,0.9592551622418879,0.9556864754098361,0.9257046568627452,0.9294299516908213
seen,answer_only,18,1226,166,346,0.957042772861357,0.952609231612108,0.9237132352941176,0.9237132352941176
seen,answer_only,19,1226,166,346,0.9614675516224189,0.9587744141072525,0.9286151960784313,0.9298636450931439
seen,answer_only,20,1226,166,346,0.9550884955752212,0.952432016277599,0.9413296568627452,0.9426157096216632
seen,answer_only,21,1226,166,346,0.9550884955752212,0.952432016277599,0.9540441176470589,0.9553677741501825
seen,answer_only,22,1226,166,346,0.9550884955752212,0.952432016277599,0.9589460784313726,0.9616273693943597
seen,answer_only,23,1226,166,346,0.9550884955752212,0.952432016277599,0.9384191176470589,0.9422608695652175
seen,answer_only,24,1226,166,346,0.9573008849557522,0.9555188246097337,0.9355085784313726,0.9418835336678726
seen,answer_only,25,1226,166,346,0.9573008849557522,0.9555188246097337,0.9355085784313726,0.9418835336678726
seen,answer_only,26,1226,166,346,0.9573008849557522,0.9555188246097337,0.9355085784313726,0.9418835336678726
seen,answer_only,27,1226,166,346,0.9573008849557522,0.9555188246097337,0.9433210784313726,0.9485111662531017
seen,answer_only,28,1226,166,346,0.9595132743362831,0.9586166287917123,0.9355085784313726,0.9418835336678726
seen,answer_only,29,1226,166,346,0.9573008849557522,0.9555188246097337,0.9355085784313726,0.9418835336678726
seen,answer_only,30,1226,166,346,0.9573008849557522,0.9555188246097337,0.9355085784313726,0.9418835336678726
seen,answer_only,31,1226,166,346,0.9595132743362831,0.9586166287917123,0.9355085784313726,0.9418835336678726
seen,answer_only,32,1226,166,346,0.9573008849557522,0.9555188246097337,0.9355085784313726,0.9418835336678726
seen,subjectesis,0,1226,166,346,0.5,0.3951048951048951,0.5,0.3805970149253731
seen,subjectesis,1,1226,166,346,0.6716814159292035,0.6680904977375566,0.6596200980392157,0.6586443259710586
seen,subjectesis,2,1226,166,346,0.6147861356932154,0.6138392857142857,0.6675857843137255,0.671313163313797
seen,subjectesis,3,1226,166,346,0.614122418879056,0.6164842972857751,0.670343137254902,0.6675860505535194
seen,subjectesis,4,1226,166,346,0.6440634218289085,0.6476611943849632,0.6939338235294117,0.6965028980433345
seen,subjectesis,5,1226,166,346,0.6238938053097345,0.6245931283905968,0.6576286764705883,0.6550421279328975
seen,subjectesis,6,1226,166,346,0.6297566371681416,0.6289697269652725,0.6723345588235294,0.6712871287128712
seen,subjectesis,7,1226,166,346,0.6392699115044247,0.6342101490825688,0.6439950980392157,0.6439950980392157
seen,subjectesis,8,1226,166,346,0.677802359882006,0.6729001413561184,0.7126225490196079,0.7194591984548527
seen,subjectesis,9,1226,166,346,0.7168510324483777,0.7151273419203747,0.7340686274509804,0.7389937106918238
seen,subjectesis,10,1226,166,346,0.7357300884955753,0.7324296046945367,0.7613357843137255,0.7597867479055598
seen,subjectesis,11,1226,166,346,0.8247787610619469,0.8183891402714932,0.798406862745098,0.7891827282235171
seen,subjectesis,12,1226,166,346,0.844174041297935,0.839457762816722,0.7925857843137255,0.7872757424996231
seen,subjectesis,13,1226,166,346,0.8963864306784661,0.8825777873039689,0.9031862745098039,0.9043595160361053
seen,subjectesis,14,1226,166,346,0.91773598820059,0.9040565320452614,0.9208026960784313,0.9232547387887193
seen,subjectesis,15,1226,166,346,0.9140855457227138,0.9060633484162897,0.8875612745098039,0.8909371980676328
seen,subjectesis,16,1226,166,346,0.9440265486725663,0.9371548968323162,0.8846507352941176,0.8902244524837593
seen,subjectesis,17,1226,166,346,0.950405604719764,0.9434394071490846,0.8846507352941176,0.8902244524837593
seen,subjectesis,18,1226,166,346,0.9420722713864307,0.9369280688322579,0.9002757352941176,0.903768115942029
seen,subjectesis,19,1226,166,346,0.9481932153392331,0.9404026942986392,0.9129901960784313,0.9165990338164252
seen,subjectesis,20,1226,166,346,0.9506637168141593,0.9462904624937223,0.9100796568627452,0.9160539930758159
seen,subjectesis,21,1226,166,346,0.9462389380530973,0.94019014693172,0.8973651960784313,0.9031392227797876
seen,subjectesis,22,1226,166,346,0.9398598820058996,0.9338943729245326,0.8924632352941176,0.8970223325062034
seen,subjectesis,23,1226,166,346,0.9418141592920354,0.934129293698496,0.8924632352941176,0.8970223325062034
seen,subjectesis,24,1226,166,346,0.9415560471976401,0.9313492063492064,0.9080882352941176,0.9104638619201726
seen,subjectesis,25,1226,166,346,0.9415560471976401,0.9313492063492064,0.9129901960784313,0.9165990338164252
seen,subjectesis,26,1226,166,346,0.9459808259587021,0.9373755656108598,0.8924632352941176,0.8970223325062034
seen,subjectesis,27,1226,166,346,0.9415560471976401,0.9313492063492064,0.8982843137254901,0.8982843137254901
seen,subjectesis,28,1226,166,346,0.9354351032448378,0.9278558930983527,0.8953737745098039,0.8976729850516258
seen,subjectesis,29,1226,166,346,0.9334808259587021,0.9275985989173452,0.9002757352941176,0.903768115942029
